PV size  (kW);Battery size  (kWh);Opt. did not work in *values fixed;Opt. infeasible in *minor issue;SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
45.0;40.0;;;37.32;99.11;61798.6;62353.4;165609.3;138.8;103810.7;4851.6;4435.5
45.0;45.0;;;37.37;99.24;61881.8;62353.4;165609.3;46.9;103727.5;4919.6;4494.9
45.0;50.0;;;37.39;99.30;61914.6;62353.4;165609.3;7.8;103694.7;4960.0;4529.0
45.0;55.0;;;37.39;99.30;61918.7;62353.4;165609.3;0.0;103690.7;4969.2;4534.4
45.0;60.0;;;37.39;99.30;61915.5;62353.4;165609.3;0.0;103693.8;4970.5;4532.6
50.0;40.0;;;40.64;97.15;67307.9;69281.6;165609.3;1383.1;98301.5;7009.0;6418.4
50.0;45.0;;;40.92;97.81;67763.7;69281.6;165609.3;892.5;97845.7;7395.9;6770.5
50.0;50.0;;;41.13;98.32;68114.3;69281.6;165609.3;513.9;97495.1;7701.2;7047.9
50.0;55.0;;;41.24;98.58;68294.8;69281.6;165609.3;322.0;97314.5;7796.0;7131.2
50.0;60.0;;;41.33;98.80;68450.9;69281.6;165609.3;151.8;97158.4;7932.6;7253.7
55.0;40.0;;;43.24;93.97;71617.1;76209.8;165609.3;3835.3;93992.2;9069.2;8311.9
55.0;45.0;;;43.70;94.97;72378.6;76209.8;165609.3;3017.6;93230.7;9729.1;8915.5
55.0;50.0;;;44.09;95.82;73022.7;76209.8;165609.3;2333.5;92586.7;10175.1;9321.6
55.0;55.0;;;44.41;96.51;73548.5;76209.8;165609.3;1774.8;92060.9;10542.3;9655.8
55.0;60.0;;;44.72;97.17;74052.7;76209.8;165609.3;1237.8;91556.6;10891.1;9971.8
60.0;40.0;;;45.34;90.32;75086.4;83137.9;165609.3;7156.5;90523.0;10775.1;9880.0
60.0;45.0;;;45.84;91.32;75921.4;83137.9;165609.3;6248.1;89688.0;11649.9;10681.4
60.0;50.0;;;46.34;92.31;76742.1;83137.9;165609.3;5372.1;88867.2;12285.5;11261.9
60.0;55.0;;;46.82;93.27;77545.2;83137.9;165609.3;4512.1;88064.2;12949.2;11868.6
60.0;60.0;;;47.31;94.24;78348.0;83137.9;165609.3;3654.3;87261.3;13564.6;12429.0
65.0;40.0;;;47.22;86.83;78205.0;90066.1;165609.3;10854.6;87404.4;12145.9;11139.4
65.0;45.0;;;47.79;87.87;79136.9;90066.1;165609.3;9824.0;86472.4;13330.3;12225.2
65.0;50.0;;;48.30;88.80;79981.1;90066.1;165609.3;8895.0;85628.2;14336.5;13146.6
65.0;55.0;;;48.80;89.73;80816.1;90066.1;165609.3;7989.1;84793.3;15186.1;13925.2
65.0;60.0;;;49.30;90.66;81650.9;90066.1;165609.3;7093.8;83958.4;15881.1;14559.7
