Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;75.85;48.64;586.9;1206.7;773.8;589.0;186.9;374.3;343.4
February;Optimal;Optimal;81.23;44.45;564.7;1270.4;695.2;675.7;130.5;363.1;333.1
March;Optimal;Optimal;82.50;33.22;631.6;1901.3;765.6;1232.5;134.0;448.4;411.3
April;Optimal;Optimal;83.98;32.11;619.0;1927.6;737.1;1270.6;118.1;460.3;422.4
May;Optimal;Optimal;81.84;34.64;741.2;2139.7;905.7;1357.1;164.4;501.3;459.9
June;Optimal;Optimal;79.36;37.81;806.1;2132.1;1015.8;1284.1;209.7;510.2;468.2
July;Optimal;Optimal;75.64;38.29;902.9;2358.0;1193.7;1412.2;290.8;520.9;477.9
August;Optimal;Optimal;76.76;35.93;806.6;2245.2;1050.8;1397.6;244.2;496.6;455.7
September;Optimal;Optimal;77.12;35.66;677.3;1899.4;878.2;1185.6;200.9;443.2;406.7
October;Optimal;Optimal;77.91;41.32;595.9;1442.1;764.9;813.1;169.0;399.4;366.3
November;Optimal;Optimal;76.11;51.71;565.5;1093.7;743.0;498.9;177.5;352.3;323.0
December;Optimal;Optimal;73.48;47.95;566.2;1180.7;770.5;584.6;204.3;361.1;331.1

Year;/;/;78.33;38.77;8063.9;20796.8;10294.2;12301.0;2230.2;5231.0;4799.1
