Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;44.53;89.47;2878.2;3217.1;6463.0;324.9;3584.8;158.3;144.3
February;Optimal;Optimal;55.22;86.08;2914.5;3386.0;5278.2;438.8;2363.7;390.4;357.8
March;Optimal;Optimal;57.38;67.98;3444.4;5066.8;6003.2;1576.8;2558.8;539.6;494.1
April;Optimal;Optimal;57.31;63.90;3282.5;5137.3;5727.9;1810.5;2445.4;522.4;478.1
May;Optimal;Optimal;59.77;58.43;3332.2;5703.0;5574.6;2324.8;2242.4;540.2;494.2
June;Optimal;Optimal;53.25;46.09;2619.0;5682.9;4918.4;3019.3;2299.4;522.9;478.2
July;Optimal;Optimal;55.94;40.72;2559.1;6284.8;4574.3;3679.6;2015.3;540.4;494.2
August;Optimal;Optimal;64.20;50.08;2996.7;5984.0;4667.6;2941.3;1670.8;540.1;494.2
September;Optimal;Optimal;68.60;73.06;3697.8;5061.3;5390.5;1319.5;1692.7;522.1;478.2
October;Optimal;Optimal;55.06;89.75;3450.3;3844.5;6266.1;375.0;2815.8;223.1;203.9
November;Infeasible;Optimal;40.51;91.55;2667.0;2913.2;6583.4;233.7;3916.4;140.0;127.5
December;Optimal;Optimal;42.88;87.93;2764.8;3144.4;6447.6;360.2;3682.8;224.2;204.8

Year;/;/;53.92;66.05;36606.5;55425.3;67894.9;18404.5;31288.4;4863.7;4449.4
