Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;42.30;84.98;2733.9;3217.1;6463.0;483.2;3729.1;0.0;0.0
February;Optimal;Optimal;48.44;75.51;2556.7;3386.0;5278.2;829.3;2721.5;0.0;0.0
March;Optimal;Optimal;49.15;58.23;2950.3;5066.8;6003.2;2116.5;3052.9;0.0;0.0
April;Optimal;Optimal;48.96;54.59;2804.4;5137.3;5727.9;2332.9;2923.5;0.0;0.0
May;Optimal;Optimal;50.91;49.76;2838.0;5703.0;5574.6;2865.0;2736.6;0.0;0.0
June;Optimal;Optimal;43.53;37.67;2140.8;5682.9;4918.4;3542.2;2777.6;0.0;0.0
July;Optimal;Optimal;45.14;32.85;2064.9;6284.8;4574.3;4220.0;2509.5;0.0;0.0
August;Optimal;Optimal;53.61;41.82;2502.5;5984.0;4667.6;3481.5;2165.1;0.0;0.0
September;Optimal;Optimal;59.73;63.61;3219.7;5061.3;5390.5;1841.6;2170.9;0.0;0.0
October;Optimal;Optimal;51.81;84.44;3246.4;3844.5;6266.1;598.1;3019.7;0.0;0.0
November;Optimal;Optimal;38.59;87.20;2540.3;2913.2;6583.4;372.8;4043.1;0.0;0.0
December;Optimal;Optimal;39.70;81.41;2560.0;3144.4;6447.6;584.4;3887.6;0.0;0.0

Year;/;/;47.36;58.02;32157.9;55425.3;67894.9;23267.4;35737.0;0.0;0.0
