Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;27.67;99.84;4416.5;4423.5;15962.8;0.0;11546.3;68.2;61.2
February;Optimal;Optimal;34.11;99.72;4642.9;4655.8;13611.3;0.0;8968.3;142.0;129.2
March;Optimal;Optimal;45.49;96.86;6748.0;6966.8;14833.1;170.6;8085.0;578.2;530.0
April;Optimal;Optimal;47.79;95.11;6718.1;7063.8;14057.7;281.0;7339.6;781.9;717.2
May;Optimal;Optimal;51.71;91.60;7183.2;7841.6;13891.0;591.4;6707.8;808.1;741.0
June;Optimal;Optimal;50.69;86.13;6730.5;7814.0;13276.7;1018.5;6546.1;782.1;717.1
July;Optimal;Optimal;52.24;85.26;7367.7;8641.6;14104.7;1207.1;6737.0;807.8;741.0
August;Optimal;Optimal;52.13;85.35;7022.3;8228.0;13469.7;1138.8;6447.5;807.9;741.0
September;Optimal;Optimal;49.59;93.26;6490.3;6959.2;13088.0;425.9;6597.7;517.4;474.3
October;Optimal;Optimal;34.82;99.71;5270.8;5286.2;15139.3;0.0;9868.4;171.6;156.2
November;Optimal;Optimal;25.21;99.96;4003.9;4005.6;15884.5;0.0;11880.5;1.7;0.0
December;Optimal;Optimal;26.53;99.92;4320.2;4323.6;16283.8;0.0;11963.6;22.3;18.9

Year;/;/;40.85;93.05;70914.5;76209.8;173602.4;4833.3;102687.9;5489.1;5027.1
