Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;45.33;72.85;2929.6;4021.4;6463.0;1091.8;3533.3;0.0;0.0
February;Optimal;Optimal;51.65;64.41;2726.2;4232.5;5278.2;1506.3;2552.1;0.0;0.0
March;Optimal;Optimal;50.73;48.08;3045.1;6333.5;6003.2;3288.3;2958.0;0.0;0.0
April;Optimal;Optimal;50.16;44.74;2873.2;6421.6;5727.9;3548.4;2854.8;0.0;0.0
May;Optimal;Optimal;52.12;40.76;2905.4;7128.7;5574.6;4223.3;2669.2;0.0;0.0
June;Optimal;Optimal;44.40;30.74;2183.9;7103.7;4918.4;4919.8;2734.5;0.0;0.0
July;Optimal;Optimal;46.24;26.93;2115.4;7856.0;4574.3;5740.7;2459.0;0.0;0.0
August;Optimal;Optimal;54.97;34.30;2565.6;7480.0;4667.6;4914.4;2102.0;0.0;0.0
September;Optimal;Optimal;62.18;52.98;3351.7;6326.6;5390.5;2974.9;2038.9;0.0;0.0
October;Optimal;Optimal;56.40;73.54;3533.9;4805.7;6266.1;1271.7;2732.2;0.0;0.0
November;Optimal;Optimal;45.04;81.43;2965.1;3641.5;6583.4;676.3;3618.2;0.0;0.0
December;Optimal;Optimal;42.52;69.75;2741.7;3930.5;6447.6;1188.8;3705.9;0.0;0.0

Year;/;/;49.98;48.98;33936.7;69281.6;67894.9;35344.9;33958.2;0.0;0.0
