PV size  (kW);Battery size  (kWh);Opt. did not work in *values fixed;Opt. infeasible in *minor issue;SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
45.0;10.0;;;35.66;94.72;59059.5;62353.4;165609.3;3114.7;106549.8;2150.2;1971.0
45.0;20.0;;;36.43;96.77;60336.9;62353.4;165609.3;1719.7;105272.5;3533.2;3236.3
45.0;30.0;;;37.02;98.33;61310.8;62353.4;165609.3;672.0;104298.5;4367.3;3996.6
45.0;40.0;;;37.32;99.11;61798.6;62353.4;165609.3;138.8;103810.7;4851.6;4435.5
45.0;50.0;;;37.39;99.30;61914.6;62353.4;165609.3;7.8;103694.7;4960.0;4529.0
50.0;10.0;;;38.05;90.95;63013.6;69281.6;165609.3;6064.5;102595.8;2449.5;2246.0
50.0;20.0;;;39.05;93.34;64670.6;69281.6;165609.3;4232.2;100938.8;4546.3;4167.4
50.0;30.0;;;39.96;95.53;66182.4;69281.6;165609.3;2583.9;99427.0;6162.1;5646.8
50.0;40.0;;;40.64;97.15;67307.9;69281.6;165609.3;1383.1;98301.5;7009.0;6418.4
50.0;50.0;;;41.13;98.32;68114.3;69281.6;165609.3;513.9;97495.1;7701.2;7047.9
55.0;10.0;;;40.15;87.26;66497.3;76209.8;165609.3;9469.0;99112.1;2944.2;2700.7
55.0;20.0;;;41.25;89.63;68310.0;76209.8;165609.3;7452.8;97299.3;5389.0;4942.0
55.0;30.0;;;42.26;91.83;69980.3;76209.8;165609.3;5610.5;95629.0;7443.0;6824.1
55.0;40.0;;;43.24;93.97;71617.1;76209.8;165609.3;3835.3;93992.2;9069.3;8311.9
55.0;50.0;;;44.09;95.82;73022.7;76209.8;165609.3;2333.5;92586.6;10175.1;9321.6
