Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Infeasible;Infeasible;34.38;99.98;3216.5;3217.1;9355.0;0.0;6138.5;0.6;0.0
February;Optimal;Infeasible;42.18;99.71;3376.2;3386.0;8004.7;0.0;4628.4;116.2;106.4
March;Optimal;Optimal;46.51;81.78;4143.6;5066.8;8909.0;903.6;4765.4;233.2;213.6
April;Optimal;Optimal;45.81;75.24;3865.4;5137.3;8437.8;1251.5;4572.4;242.0;221.7
May;Optimal;Optimal;50.04;71.08;4053.9;5703.0;8101.1;1626.2;4047.2;269.8;247.0
June;Optimal;Optimal;44.48;60.27;3425.3;5682.9;7700.4;2235.6;4275.1;261.2;239.1
July;Optimal;Optimal;46.31;56.30;3538.2;6284.8;7640.1;2723.7;4101.9;269.9;247.0
August;Optimal;Optimal;51.40;62.16;3719.9;5984.0;7236.7;2241.4;3516.8;269.7;247.0
September;Optimal;Optimal;54.30;88.77;4492.7;5061.3;8274.1;546.9;3781.4;260.7;239.0
October;Optimal;Optimal;42.81;99.88;3839.8;3844.5;8969.9;0.0;5130.1;52.7;48.0
November;Infeasible;Infeasible;30.72;99.98;2912.6;2913.2;9480.0;0.0;6567.4;0.6;0.0
December;Optimal;Infeasible;31.54;99.97;3143.5;3144.4;9968.0;0.0;6824.4;4.5;3.6

Year;/;/;42.84;78.90;43727.8;55425.3;102076.8;11528.9;58349.0;1981.2;1812.6
