Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;54.48;24.69;1092.1;4423.5;2004.8;3331.4;912.7;0.0;0.0
February;Optimal;Optimal;62.57;22.67;1055.5;4655.8;1686.9;3600.3;631.4;0.0;0.0
March;Optimal;Optimal;52.74;14.34;999.0;6966.8;1894.0;5967.8;895.0;0.0;0.0
April;Optimal;Optimal;51.20;13.42;947.9;7063.8;1851.2;6115.8;903.3;0.0;0.0
May;Optimal;Optimal;52.27;11.16;875.0;7841.6;1674.0;6966.6;799.0;0.0;0.0
June;Optimal;Optimal;39.18;6.59;515.0;7814.0;1314.5;7299.0;799.5;0.0;0.0
July;Optimal;Optimal;40.18;2.73;236.2;8641.6;587.8;8405.4;351.7;0.0;0.0
August;Optimal;Optimal;60.83;5.18;426.2;8228.0;700.8;7801.8;274.5;0.0;0.0
September;Optimal;Optimal;77.42;15.04;1046.4;6959.2;1351.6;5912.8;305.1;0.0;0.0
October;Optimal;Optimal;72.08;25.62;1354.1;5286.2;1878.7;3932.1;524.6;0.0;0.0
November;Optimal;Optimal;59.15;30.19;1209.4;4005.6;2044.5;2796.2;835.2;0.0;0.0
December;Optimal;Optimal;50.35;23.52;1017.1;4323.6;2020.2;3306.5;1003.1;0.0;0.0

Year;/;/;56.68;14.14;10773.9;76209.8;19009.1;65435.9;8235.2;0.0;0.0
