Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Optimal;Optimal;47.95;85.62;3099.0;3619.3;6463.0;498.2;3364.0;266.2;244.1
February;Optimal;Optimal;54.51;75.53;2877.1;3809.3;5278.2;911.8;2401.1;243.4;223.1
March;Optimal;Optimal;54.13;57.01;3249.5;5700.1;6003.2;2427.8;2753.7;269.9;247.0
April;Optimal;Optimal;53.89;53.41;3086.7;5779.5;5727.9;2670.5;2641.2;261.4;239.1
May;Optimal;Optimal;55.98;48.64;3120.8;6415.9;5574.6;3272.1;2453.8;270.2;247.1
June;Optimal;Optimal;48.83;37.57;2401.7;6393.3;4918.4;3969.3;2516.7;261.5;239.2
July;Optimal;Optimal;51.17;33.11;2340.8;7070.4;4574.3;4706.6;2233.5;270.2;247.2
August;Optimal;Optimal;59.61;41.33;2782.4;6732.0;4667.6;3926.6;1885.2;270.1;247.1
September;Optimal;Optimal;65.66;62.16;3539.4;5693.9;5390.5;2132.5;1851.1;261.1;239.1
October;Optimal;Optimal;58.46;84.70;3663.2;4325.1;6266.1;639.5;2602.9;269.5;247.1
November;Optimal;Optimal;43.68;87.75;2875.8;3277.3;6583.4;392.4;3707.5;105.6;96.5
December;Optimal;Optimal;45.31;82.59;2921.7;3537.5;6447.6;593.3;3525.9;269.5;247.0

Year;/;/;52.96;57.67;35958.0;62353.4;67894.9;26140.5;31936.9;3018.6;2763.6
