Time (h);January (kWh/h);February (kWh/h);March (kWh/h);April (kWh/h);May (kWh/h);June (kWh/h);July (kWh/h);August (kWh/h);September (kWh/h);October (kWh/h);November (kWh/h);December (kWh/h)
0.0;6.14872103510092;5.98192131122685;7.66801880335323;8.2533318374742;8.1338480440108;9.6936520390367;7.42696008898464;5.66430424229559;4.63349698701758;4.70909396595133;6.52701435605117;6.69350198902882
1.0;6.40242664807399;5.84014438368583;7.69056321677617;7.96672551523325;8.0637971219186;9.36298793288403;6.90447349430825;5.18339373304801;4.34659633290132;4.68028943417255;6.45008988291869;6.57388860690887
2.0;6.41471833494463;6.01957013117868;7.87977921600218;8.33202358037874;8.27460716318435;9.22293686080482;6.40009114559111;5.08599749118949;4.51045305637931;4.92576826900595;6.51411079276439;6.82447154998892
3.0;6.50779548968691;6.04040960126859;7.78230274211686;8.247736116352;8.25721541875127;6.80254064400484;6.09174943470563;4.93670067624948;4.58276279365877;4.94571809654956;6.51878949222736;6.83342051332605
4.0;6.24075504641536;5.82826751673415;7.79599764289784;8.00226228841462;8.11501585066383;5.41757901009752;5.37651385257739;4.47935026936689;4.06208096075699;4.70855107227145;6.61591416679699;6.92925029310724
5.0;6.33042547209877;5.80586488673119;7.52605755899264;8.05609221039935;7.91454075720209;5.14686803548752;4.46448610402037;3.95920473841846;4.29847595399013;4.88414349713878;6.79343870938594;6.77639458059372
6.0;6.10194435096547;5.86337049904211;7.53082684039559;8.04773343855602;6.54474967159663;4.62069938110704;4.68549328852576;5.30712778892511;6.65643193277585;7.61718748961766;7.00829259108487;7.40446693940984
7.0;9.12745542008378;9.43946764502245;7.76524171409393;8.91379249920106;7.24237535730652;5.87165194705397;6.10424152047959;8.80294137157751;14.4312775764481;13.5875644317046;8.92988906663911;8.72851214907414
8.0;14.1428362636669;13.8310418586156;10.4073198416824;10.0783143686521;8.04170569853057;6.55154187387353;6.371122364276;10.2319038848834;17.3673556824682;20.2606192810637;15.7344565426701;14.1866988925397
9.0;16.8561619083909;16.4660967766089;13.0131070987021;10.8308109917274;9.68729782863637;8.48763846191605;7.1606157976639;12.4182160680086;17.7790142260565;21.5437979900374;20.1448818692595;17.7505408590746
10.0;17.7356959002296;16.4237565001566;14.0376787062708;10.8880901667451;9.33715662771758;8.3384153092948;7.12587206248209;11.0982599928498;17.9864679820368;20.3922144294965;17.4907435525485;16.1195111200135
11.0;18.1712840225461;17.7632894582304;14.0186713146153;10.932002722325;9.36510938630862;8.11568119503572;7.15274779148788;9.12385072221676;20.8395148009551;21.3344059327539;18.2110309095817;16.7595246279224
12.0;19.3137108834899;16.2484490197026;13.5412063422962;10.6422656486985;11.4196489532914;5.63544127720882;5.37070279112821;5.21518974461142;15.4108809557419;20.1010367045992;21.2031470258834;19.2879728585658
13.0;18.0420917103424;15.903927134175;12.8725290591652;9.18941211244077;13.5788570201501;5.27832530527413;5.1154912639779;4.8986325944416;14.4880928939275;14.6638304064025;19.4420662691285;18.4959150769229
14.0;13.9740385051992;12.8802492882773;10.7700919956232;10.0197655969562;13.1401427497258;5.63671686615888;5.35657731152577;5.74958594459019;10.8730570274621;14.511782393375;15.485666999066;13.3700354131272
15.0;16.3142000911431;13.4587098316465;11.2202611999136;10.0626564469448;10.0722347720771;6.7253880588284;6.88380478172313;8.38908116445766;12.4610930974765;15.3320046496181;15.8151217583662;14.1843463778234
16.0;15.7188975529707;14.1386262043949;10.1615063135102;9.03039979221812;7.81563552433988;6.84332070199235;7.10884426480888;8.74775995119976;9.89637262997813;15.3490272335554;15.8479736228836;14.6517799472374
17.0;13.3080305244739;9.73229401618037;8.57905873698188;7.67024891027126;7.5218266579659;7.04659477022129;7.78735997865956;8.61804197471147;7.69058151953086;9.65734449462752;16.7607674454385;15.2930980006282
18.0;7.81699159777709;6.07237515783505;7.08525760990771;7.28831444635108;7.25041262197328;8.68381229815303;8.53914611475978;8.69530263105446;7.41409375923272;5.76701802169668;7.72825259830936;8.68122431869594
19.0;7.2818237829295;6.09350780487343;7.31425334849843;7.74586844575179;6.10264447697619;8.69722235851818;7.14597518623006;6.02912273868483;5.3052311836788;5.18995707171195;6.81170102032255;7.09049801310186
20.0;7.05314812144296;6.29471476315333;7.54677479736882;7.84626819867378;5.86263950542371;8.89450199116189;7.6530283200579;6.03247471367818;5.19837871645841;5.15159372178306;6.72581005327806;7.01641312909692
21.0;6.76528020274018;6.28476106767862;7.50793086848549;7.77077227636095;7.59720813445924;9.56775112338267;7.79996215537681;5.7984561831548;4.85860027195636;4.93059021145179;6.54028622640314;6.80886555536618
22.0;6.82962927172716;6.32388636788671;7.66519026508586;7.97091273334344;8.42848852553256;10.0257751695614;8.33696733549734;6.57409676006287;5.0807680771758;5.08154147620992;6.62697007952563;6.7954076216726
23.0;6.58187962342979;6.08710946952761;7.51240402975549;7.99897713786263;8.26959549596465;10.244661262904;8.1029462638521;6.29864789396215;4.80430258133137;4.84895062425139;6.43833575481781;6.71662754280742
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
