0;1;2;3;4;5;6;7;8;9;10;11
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0028294355;0,086965;0,0028875;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,22868625;1,2348121;1,6927812;1,3460238;0,49267863;0,00081875;0,0;0,0;0,0
0,0;0,0;0,67472056;2,9832813;4,6528294;4,7169711;3,5878201;3,5425125;2,3884787;0,72678508;0,0;0,0
0,0026068548;2,5346894;7,0148985;7,9892823;5,1387295;4,5567415;4,0302025;4,66297;4,4130582;4,6582361;3,3145163;0,031127419
5,2969791;4,784146;6,8817635;8,3334838;5,2489627;4,8111027;3,937018;4,7486785;4,6447937;6,0283368;5,7382409;5,5815883
6,3513004;5,2966535;7,451152;9,6127077;7,8639579;7,6402523;6,5958918;8,4724765;7,5659961;7,6594165;7,0261815;6,4436096
6,6794014;5,7708617;8,021554;10,099332;8,4026704;8,7807578;8,2706048;10,620409;9,3210397;8,6883225;6,7841619;6,3453756
7,8862736;6,9803532;9,7067041;11,013653;8,7613125;8,8183695;7,9261239;10,989734;9,8583543;8,7071771;7,6936833;7,3766519
7,3419844;7,408703;9,5326559;9,300193;6,6868802;5,6350318;4,8403819;5,9257027;5,2793482;6,9767873;8,0762654;8,4336984
6,1743045;6,0754809;8,261111;8,4869836;5,585647;5,1572629;3,9559115;5,3544933;4,2670569;5,5778017;6,3394174;7,0190604
4,9016389;4,8500368;7,3485077;9,8333834;5,7195199;5,4894499;4,6091119;4,9367886;4,6970667;6,4681506;5,2960879;5,9083811
5,7581615;6,2025854;8,1141155;11,466129;8,2320787;8,6038885;8,1323432;10,041312;8,845216;8,7953704;6,6120627;6,7649183
2,9591446;6,7788218;9,4925431;10,128822;8,7823118;9,2011073;9,6623627;10,827061;9,3127796;4,7730136;2,8344446;2,8333333
2,8333333;2,8333333;3,44502;4,8641246;5,7109841;6,4232571;6,7565277;5,7162922;3,5258396;2,8333333;2,8333333;2,8333333
2,3042925;2,3042925;2,8333333;2,8429321;3,2981507;3,8756583;3,866964;3,0783027;2,3050021;2,2363159;1,3383977;1,5145455
0,0;0,0;0,018322178;0,4478039;1,9311555;2,3096802;2,3079602;0,56114229;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
